Region,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCR,1261,2260,2990,3438,3852,4258,5694,7985,9276,10309,11781,13002,14678,15839,16769,17536,18079,19106,22245,26800,30583,34416,37004,39105,41148,43113,44273,45170,45773,46605,49213,52536,57667,62139,65474,68305,70387,72735,74112,74644,75086,75903,77742,83223,94256,101032,105526,108783,111111,113102,114134,114233,114298,114355,114467,114625,114756,114885,115308,115966,116147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,579,855,1046,1272,1776,3134,5903,8082,8620,8881,9042,9164,9330,9453,9529,9605,9662,9808,10340,11181,11791,12452,12843,13209,13529,13763,13936,14064,14252,14719,16049,17314,18535,19450,20099,20793,21263,21957,22355,22518,22705,23252,24478,26014,27486,28478,29234,29601,29830,30015,30136,30155,30186,30248,30315,30387,30426,30466,30504,30582,30608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region 1,705,1079,1355,1595,1838,2183,3478,5076,6491,7491,8046,8281,8566,8768,8919,9093,9272,9634,10666,12275,13608,14767,15632,16517,17216,17664,17899,18224,18558,19279,22653,25919,28140,29221,30506,32028,32624,33257,33656,33839,34036,34779,37366,41544,46358,48943,51076,51895,52319,52761,53113,53159,53246,53432,53884,54914,55966,56773,57985,59066,59312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region 2,659,1067,1278,1416,1542,1668,2058,2812,3364,3656,3837,3891,4156,4268,4398,4510,4639,4899,5538,6357,7025,8015,8693,9201,9619,9886,10120,10358,10634,11207,12723,15241,18939,21860,24382,26879,28676,30812,32167,32596,33082,34253,36175,38621,40773,41975,42932,43513,43837,44273,44390,44408,44425,44455,44509,44617,44726,44884,45045,45141,45158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region 3,1976,3724,4607,5156,5521,5884,7585,10462,13656,16811,19018,20989,23290,24554,25560,26204,26634,27390,30653,35417,38680,41491,43801,46189,48686,50515,51752,52476,53171,54345,58921,64502,69528,72830,75689,77915,79728,81568,82798,83258,83686,85057,87285,93878,103591,109273,112276,115073,117932,121023,122427,122634,122835,123115,123813,125085,126158,127171,128902,131064,132158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region 4A,2993,5028,6355,7193,7907,8685,10955,14173,17627,20802,22825,24282,26046,27289,28216,28863,29298,30113,32840,35961,38481,41240,43875,46703,49160,51135,52629,53575,54250,55241,58034,61790,66487,70401,73976,77113,79270,82522,84774,85666,86575,89106,95471,110518,132176,142541,148440,153308,156483,159064,160568,160719,160796,160901,161113,161404,161635,161960,162502,163029,163177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region 4B,203,422,633,814,1017,1280,2015,2793,3262,3650,3864,3999,4242,4497,4644,4713,4807,5039,5432,5844,6130,6377,6580,6769,6983,7260,7463,7661,7899,8370,10020,11509,13091,13728,14198,14788,15223,15933,16732,17096,17344,18285,19913,22038,24033,24743,25359,25772,26092,26699,27236,27313,27424,27620,28087,29135,29829,30267,30657,30849,30887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region 5,237,398,516,610,706,812,1060,1406,1784,2103,2345,2532,2764,2942,3053,3183,3249,3412,3785,4220,4587,5095,5418,5757,6054,6222,6379,6552,6688,6923,7331,7686,8083,8403,8758,9305,9647,10034,10470,10693,10898,11445,12816,15097,17943,19235,19883,20446,20850,21244,21579,21665,21739,21794,21841,21924,21984,22037,22098,22167,22195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region 6,971,1645,2241,2801,3583,4720,9713,16868,21907,24469,25527,26170,26897,27351,27687,27997,28343,28973,30550,32841,33527,34015,34642,35453,36208,36782,37238,37725,38270,39287,41988,44627,47473,49376,51100,53035,54461,56464,58726,59925,61311,66170,79734,97824,106872,110347,112228,113392,114052,114836,115466,115633,115771,116043,116431,116904,117073,117188,117385,117523,117563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region 7,1690,2865,4085,5069,5985,6741,9214,13638,18096,22627,26398,29395,32145,33743,34801,35551,36088,36806,38040,40687,43257,43678,44369,45335,45994,46561,47039,47441,47769,48405,49944,52361,55191,58376,62499,67224,69685,72500,74331,74902,75437,76467,78591,82449,87983,91774,94597,98277,101666,105130,107249,107827,108117,108369,108724,109350,109823,110173,110476,110683,110726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
