date,AverageTemp,AverageTempUncertainty
1/1/1853,24.219,1.072
2/1/1853,23.765,0.983
3/1/1853,25.812,1.493
4/1/1853,26.842,1.219
5/1/1853,27.647,0.964
6/1/1853,27.235,0.977
7/1/1853,27.277,0.925
8/1/1853,26.925,0.928
9/1/1853,26.474,0.916
10/1/1853,25.969,1.005
11/1/1853,25.665,1.556
12/1/1853,24.954,0.993
1/1/1854,24.421,1.415
2/1/1854,24.629,1.057
3/1/1854,26.125,1.256
4/1/1854,26.607,0.864
5/1/1854,27.687,0.935
6/1/1854,26.999,0.998
7/1/1854,27.488,1.183
8/1/1854,27.016,1.125
9/1/1854,26.072,0.873
10/1/1854,26.41,1.414
11/1/1854,25.601,1.045
12/1/1854,25.504,1.759
1/1/1855,25.185,1.682
2/1/1855,25.548,1.014
3/1/1855,26.013,0.877
4/1/1855,27.617,1.332
5/1/1855,27.833,1.037
6/1/1855,26.892,1.087
7/1/1855,26.596,1.042
8/1/1855,26.583,0.889
9/1/1855,25.912,0.87
10/1/1855,25.193,1.382
11/1/1855,25.101,0.924
12/1/1855,23.932,1.54
1/1/1856,24.518,1.071
2/1/1856,24.137,1.294
3/1/1856,25.375,1.062
4/1/1856,26.53,0.874
5/1/1856,26.985,1.206
6/1/1856,27.331,1.151
7/1/1856,26.504,1.099
8/1/1856,26.061,1.336
9/1/1856,25.925,1.076
10/1/1856,25.119,0.956
11/1/1856,24.804,1.162
12/1/1856,24.68,1.148
1/1/1857,24.307,1.055
2/1/1857,25.07,1.326
3/1/1857,25.768,1.202
4/1/1857,26.026,0.858
5/1/1857,26.524,0.888
6/1/1857,26.402,0.923
7/1/1857,26.694,0.923
8/1/1857,25.932,1.199
9/1/1857,25.726,0.87
10/1/1857,25.246,1.052
11/1/1857,,
12/1/1857,,
1/1/1858,25.062,1.51
2/1/1858,24.444,1.029
3/1/1858,25.699,0.975
4/1/1858,27.048,1.367
5/1/1858,27.091,1.168
6/1/1858,26.827,1.034
7/1/1858,26.342,1.041
8/1/1858,26.11,0.99
9/1/1858,25.93,1.01
10/1/1858,25.997,0.951
11/1/1858,25.906,1.09
12/1/1858,24.693,1.048
